Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,1.04,1,26-25,3815,4976,37
Lucky,0.96,-1,22-23,4050,5069,96
MethodZsick,1.18,4,26-22,3365,4562,70
Mettalz,1.3,7,30-23,5155,6013,57
Sukry,1.25,6,30-24,5545,6021,62
Totals,1.15,17,134-117,21930,26641,322
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.68,-9,19-28,3250,4423,52
Joee,1.16,4,29-25,4810,5168,92
Rated,0.63,-10,17-27,3130,4122,22
Skrapz,1.16,4,29-25,4790,6252,56
Zer0,0.79,-6,23-29,3505,4653,56
Totals,0.87,-17,117-134,19485,24618,278
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.4,2,7-5,1455,1958,0:1
Lucky,0.71,-2,5-7,875,1483,2:1
MethodZsick,1.83,5,11-6,1775,1651,2:1
Mettalz,1.25,2,10-8,1650,2193,0:0
Sukry,1,0,7-7,815,1845,2:1
Totals,1.21,7,40-33,6570,9130,6:4
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1,0,8-8,1625,1703,1:1
Joee,1,0,7-7,1450,1557,1:2
Rated,0.88,-1,7-8,1075,1893,1:1
Skrapz,1,0,7-7,1100,1440,1:1
Zer0,0.4,-6,4-10,575,1223,0:1
Totals,0.83,-7,33-40,5825,7816,4:6
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1,0,18-18,3315,5668,0:0
Lucky,1.38,6,22-16,3625,5393,0:1
MethodZsick,0.68,-8,17-25,2550,3645,0:0
Mettalz,0.64,-12,21-33,2650,4736,0:3
Sukry,0.88,-2,15-17,3305,4834,0:1
Totals,0.85,-16,93-109,15445,24276,0:5
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.13,2,18-16,3790,4960,1:0
Joee,0.87,-3,20-23,3840,4093,1:0
Rated,0.89,-2,17-19,3280,5195,0:0
Skrapz,1.58,11,30-19,5225,6441,3:0
Zer0,1.41,7,24-17,3885,5657,0:0
Totals,1.16,15,109-94,20020,26346,5:0
