Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,0.92,-2,22-24,3500,5117,51
Felony,0.67,-8,16-24,2825,4508,79
Goonjar,0.67,-9,18-27,3155,4385,61
Royalty,0.83,-4,20-24,3495,4161,107
Xotic,1.05,1,20-19,3130,4558,60
Totals,0.81,-22,96-118,16105,22729,358
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.61,-9,14-23,3225,4252,48
Apathy,1.63,12,31-19,5220,5050,50
Assault,1.31,5,21-16,4100,4838,85
Huke,1.48,10,31-21,4355,5301,114
Silly,1.18,3,20-17,3985,4525,92
Totals,1.22,21,117-96,20885,23966,389
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,1.67,4,10-6,1235,1804,1:1
Felony,0.71,-2,5-7,875,1278,1:1
Goonjar,0.89,-1,8-9,1125,2279,2:0
Royalty,0.86,-1,6-7,925,1615,1:3
Xotic,1.29,2,9-7,2120,2125,0:1
Totals,1.06,2,38-36,6280,9101,5:6
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.5,-4,4-8,800,1419,1:3
Apathy,0.63,-3,5-8,930,1128,2:0
Assault,0.78,-2,7-9,850,1792,0:0
Huke,1.33,3,12-9,1550,2357,3:0
Silly,1.14,1,8-7,1905,1622,0:2
Totals,0.88,-5,36-41,6035,8318,6:5
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Attach,2.33,12,21-9,2900,3445,1:0
Felony,1.64,7,18-11,3125,3579,1:1
Goonjar,1.89,8,17-9,2975,3860,0:0
Royalty,0.85,-2,11-13,1650,2106,0:0
Xotic,0.91,-1,10-11,2305,2892,0:0
Totals,1.45,24,77-53,12955,15882,2:1
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,0.59,-7,10-17,1675,2674,0:2
Apathy,0.5,-8,8-16,1990,1934,0:0
Assault,0.88,-2,14-16,2350,2971,1:0
Huke,0.47,-9,8-17,1500,2077,0:0
Silly,1.18,2,13-11,2050,2030,0:0
Totals,0.69,-24,53-77,9565,11686,1:2
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Attach,0.74,-7,20-27,3890,4691,59
Felony,1.19,5,31-26,5035,6698,79
Goonjar,1.08,2,28-26,4260,5456,61
Royalty,1.07,2,31-29,4915,6362,59
Xotic,0.93,-2,26-28,4465,5365,74
Totals,1,0,136-136,22565,28572,332
Team Envy,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,0.79,-6,22-28,4280,5617,85
Apathy,0.75,-7,21-28,4405,4375,52
Assault,0.78,-6,21-27,3895,5649,69
Huke,1.4,10,35-25,5120,6567,51
Silly,1.32,9,37-28,4830,6855,51
Totals,1,0,136-136,22530,29063,308
