eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,0.66,-10,19-29,3025,3891,48
Arcitys,0.64,-10,18-28,4120,4829,70
Clayster,1.2,4,24-20,3975,6196,76
Prestinni,1.04,1,27-26,4800,5338,61
Simp,1.08,2,27-25,4370,4933,76
Totals,0.9,-13,115-128,20290,25187,331
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.17,4,28-24,3845,5361,31
Formal,1.33,7,28-21,4745,6211,112
Gunless,1.89,16,34-18,5045,7074,85
John,0.74,-7,20-27,4415,4750,84
Slacked,0.72,-7,18-25,3595,4305,67
Totals,1.11,13,128-115,21645,27701,379
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.14,1,8-7,1395,1643,3:2
Arcitys,1.33,2,8-6,1420,2117,0:1
Clayster,0.7,-3,7-10,1025,1822,0:1
Prestinni,0.67,-3,6-9,825,1960,0:0
Simp,1.71,5,12-7,1525,2305,2:1
Totals,1.05,2,41-39,6190,9847,5:5
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.67,-3,6-9,950,1538,1:1
Formal,0.89,-1,8-9,1275,1855,0:1
Gunless,0.63,-3,5-8,850,2103,2:1
John,1.1,1,11-10,1900,2325,1:1
Slacked,1.29,2,9-7,1610,1429,1:1
Totals,0.91,-4,39-43,6585,9250,5:5
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.21,3,17-14,3275,3464,0:1
Arcitys,1.1,1,11-10,2785,2958,0:0
Clayster,1.78,7,16-9,3190,2577,1:0
Prestinni,0.93,-1,13-14,3185,3245,0:1
Simp,1.25,3,15-12,3025,3003,0:0
Totals,1.22,13,72-59,15460,15247,1:2
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.79,-3,11-14,1650,2347,1:0
Formal,1.27,3,14-11,2575,4329,0:0
Gunless,1.13,2,17-15,2050,3301,1:1
John,0.41,-10,7-17,1180,2407,0:0
Slacked,0.67,-5,10-15,1825,2818,0:0
Totals,0.82,-13,59-72,9280,15202,2:1
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.18,4,26-22,4215,4480,55
Arcitys,0.76,-5,16-21,4065,4733,94
Clayster,0.69,-8,18-26,3400,5074,30
Prestinni,0.79,-5,19-24,3030,3329,71
Simp,1.14,3,24-21,3675,4279,54
Totals,0.9,-11,103-114,18385,21895,304
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.39,9,32-23,5125,6453,52
Formal,1.44,7,23-16,4295,4985,93
Gunless,0.83,-4,20-24,3685,4483,43
John,0.73,-6,16-22,2690,3670,39
Slacked,1.28,5,23-18,4290,4389,105
Totals,1.11,11,114-103,20085,23980,332
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.8,-1,4-5,540,1448,0:1
Arcitys,0.67,-2,4-6,725,1331,1:1
Clayster,0.17,-5,1-6,225,1046,0:1
Prestinni,0.29,-5,2-7,525,600,0:1
Simp,1.14,1,8-7,975,1898,2:0
Totals,0.61,-12,19-31,2990,6323,3:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.2,1,6-5,1430,1674,0:0
Formal,0.8,-1,4-5,500,1022,2:1
Gunless,1,0,4-4,575,1170,1:1
John,1,0,4-4,1025,1160,0:1
Slacked,12,11,12-1,1495,1924,1:0
Totals,1.58,11,30-19,5025,6950,4:3
