Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Aches,1.45,10,32-22,5075,6293,87
Apathy,1.13,3,26-23,4590,5038,76
Assault,0.79,-5,19-24,3885,4065,60
Huke,0.73,-7,19-26,2980,3866,77
Silly,0.86,-3,19-22,3125,4663,58
Totals,0.98,-2,115-117,19655,23925,358
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Knight,0.9,-2,19-21,4075,4601,109
Mayhem,1.38,8,29-21,4720,5327,56
Methodz,0.64,-10,18-28,3015,4418,46
Parzelion,1.22,5,28-23,4310,4780,56
Proto,1.05,1,23-22,3245,4250,42
Totals,1.02,2,117-115,19365,23376,309
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,1.17,1,7-6,950,1771,1:3
Apathy,1.8,4,9-5,1425,1735,2:1
Assault,0.88,-1,7-8,1125,1720,0:1
Huke,0.57,-3,4-7,675,1193,1:0
Silly,0.83,-1,5-6,1275,1172,1:0
Totals,1,0,32-32,5450,7591,5:5
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,0.67,-2,4-6,725,1188,1:1
Mayhem,0.63,-3,5-8,775,1674,1:1
Methodz,1.29,2,9-7,1225,2047,1:1
Parzelion,1.14,1,8-7,1250,1702,1:1
Proto,1,0,5-5,800,1069,1:1
Totals,0.94,-2,31-33,4775,7680,5:5
Team Envy,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Aches,2.14,16,30-14,4625,6380,0:0
Apathy,0.68,-6,13-19,2400,2395,0:2
Assault,1.06,1,17-16,3650,3756,1:0
Huke,0.9,-2,19-21,3050,4475,1:0
Silly,0.89,-2,16-18,3885,3328,0:0
Totals,1.08,7,95-88,17610,20334,2:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Knight,1,0,18-18,3385,3712,0:0
Mayhem,0.85,-3,17-20,2950,3696,0:1
Methodz,1.11,2,20-18,3090,4848,1:0
Parzelion,1.06,1,18-17,3165,4303,0:1
Proto,0.68,-7,15-22,2925,3393,1:0
Totals,0.93,-7,88-95,15515,19952,2:2
