Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.03,1,30-29,5095,0,106
Formal,1.63,15,39-24,5795,0,104
Gunless,1.19,5,31-26,4890,0,43
John,0.9,-3,27-30,4765,0,59
Slacked,0.61,-13,20-33,3520,0,47
Totals,1.04,5,147-142,24065,0,359
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1.1,3,32-29,4735,0,64
Seany,1.12,3,28-25,4670,0,82
Tommey,0.69,-11,24-35,4200,0,88
Wuskin,0.77,-7,23-30,3795,0,37
Zed,1.25,7,35-28,5610,0,65
Totals,0.97,-5,142-147,23010,0,336
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.71,-2,5-7,1025,0,1:1
Formal,1,0,8-8,1025,0,1:1
Gunless,0.83,-1,5-6,550,0,0:2
John,1,0,6-6,900,0,0:3
Slacked,1,0,6-6,725,0,0:0
Totals,0.91,-3,30-33,4225,0,2:7
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.57,-3,4-7,1380,0,0:1
Seany,1.33,2,8-6,1500,0,3:0
Tommey,1.25,1,5-4,750,0,0:1
Wuskin,1.17,1,7-6,1150,0,2:0
Zed,1.29,2,9-7,1500,0,2:0
Totals,1.1,3,33-30,6280,0,7:2
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.76,-7,22-29,4505,0,1:1
Formal,0.96,-1,25-26,4300,0,0:1
Gunless,1.26,6,29-23,4895,0,0:0
John,1.1,3,32-29,5185,0,1:0
Slacked,0.96,-1,23-24,4225,0,1:0
Totals,1,0,131-131,23110,0,3:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.74,-7,20-27,4365,0,0:0
Seany,1.13,3,26-23,5250,0,0:0
Tommey,0.79,-6,23-29,4550,0,1:2
Wuskin,1.27,6,28-22,4395,0,1:1
Zed,1.13,4,34-30,5375,0,0:0
Totals,1,0,131-131,23935,0,2:3
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.45,10,32-22,4615,0,111
Formal,1.33,8,32-24,6030,0,57
Gunless,1.04,1,26-25,4730,0,64
John,1.04,1,29-28,4365,0,39
Slacked,0.75,-6,18-24,3735,0,84
Totals,1.11,14,137-123,23475,0,355
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.81,-5,22-27,3765,0,72
Seany,0.88,-3,23-26,3905,0,93
Tommey,0.72,-8,21-29,3340,0,23
Wuskin,1.14,4,32-28,4985,0,56
Zed,0.93,-2,25-27,3845,0,83
Totals,0.9,-14,123-137,19840,0,327
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.38,-5,3-8,780,0,0:0
Formal,2.5,9,15-6,1950,0,4:2
Gunless,1.13,1,9-8,1520,0,1:0
John,0.75,-2,6-8,750,0,2:0
Slacked,0.38,-5,3-8,740,0,0:1
Totals,0.95,-2,36-38,5740,0,7:3
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.71,-2,5-7,1460,0,0:1
Seany,0.5,-4,4-8,1025,0,2:1
Tommey,1.83,5,11-6,1300,0,0:1
Wuskin,2,6,12-6,1500,0,1:1
Zed,0.67,-3,6-9,1050,0,0:3
Totals,1.06,2,38-36,6335,0,3:7
