eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1,0,21-21,3710,4814,103
Arcitys,1.21,3,17-14,2980,3595,100
Clayster,1.2,3,18-15,3665,4073,34
Prestinni,1.92,12,25-13,4550,4868,88
Simp,1.67,12,30-18,4975,5858,105
Totals,1.37,30,111-81,19880,23208,430
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.68,-7,15-22,3310,3576,48
Joee,0.35,-15,8-23,2190,2629,23
Rated,0.54,-11,13-24,2000,3820,74
Skrapz,0.9,-2,19-21,3700,4802,74
Zer0,1.19,4,25-21,3540,4728,52
Totals,0.72,-31,80-111,14740,19555,271
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,0.67,-2,4-6,615,1015,2:2
Arcitys,0.83,-1,5-6,675,1278,0:1
Clayster,0.67,-2,4-6,725,1592,0:1
Prestinni,0.67,-2,4-6,550,1131,0:1
Simp,1.67,4,10-6,1250,2332,1:0
Totals,0.9,-3,27-30,3815,7348,3:5
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.33,-4,2-6,350,818,1:1
Joee,0.43,-4,3-7,850,919,0:1
Rated,1.5,3,9-6,1065,1475,1:1
Skrapz,2.2,6,11-5,1425,1840,3:0
Zer0,0.75,-1,3-4,525,932,0:0
Totals,1,0,28-28,4215,5984,5:3
eUnited,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,1.3,8,35-27,6180,6459,1:0
Arcitys,0.94,-1,17-18,3475,4948,0:0
Clayster,0.84,-4,21-25,4350,4878,0:1
Prestinni,0.78,-6,21-27,4910,5498,0:0
Simp,1.35,8,31-23,4850,5708,2:1
Totals,1.04,5,125-120,23765,27491,3:2
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.04,1,27-26,4850,4876,0:1
Joee,0.63,-11,19-30,3300,4817,1:2
Rated,0.85,-4,23-27,4340,5868,0:0
Skrapz,1.13,3,26-23,4000,6260,0:0
Zer0,1.2,4,24-20,4165,6056,1:0
Totals,0.94,-7,119-126,20655,27877,2:3
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Abezy,1.1,2,23-21,3225,4743,102
Arcitys,1.11,2,21-19,3565,4673,77
Clayster,1.1,2,22-20,3855,5016,62
Prestinni,1.39,7,25-18,3820,4961,46
Simp,1.27,6,28-22,4440,5697,63
Totals,1.19,19,119-100,18905,25090,350
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.7,-7,16-23,2720,4057,55
Joee,0.62,-10,16-26,2900,3747,47
Rated,1.1,2,23-21,3610,5227,41
Skrapz,0.92,-2,23-25,3970,4661,71
Zer0,0.92,-2,22-24,3610,4151,65
Totals,0.84,-19,100-119,16810,21843,279
eUnited,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Abezy,3,4,6-2,825,868,1:0
Arcitys,4,3,4-1,625,513,0:0
Clayster,1,0,3-3,500,1284,0:0
Prestinni,1.8,4,9-5,1350,1564,2:2
Simp,4,6,8-2,1175,1391,1:1
Totals,2.31,17,30-13,4475,5620,4:3
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,0.17,-5,1-6,100,577,0:1
Joee,0.5,-3,3-6,640,946,1:0
Rated,0.67,-2,4-6,455,855,1:0
Skrapz,0.29,-5,2-7,300,621,0:1
Zer0,0.43,-4,3-7,325,586,1:2
Totals,0.41,-19,13-32,1820,3585,3:4
