Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.83,-4,19-23,3925,4317,51
Lucky,1.77,10,23-13,3295,3743,135
MethodZsick,1.37,7,26-19,3985,4653,48
Mettalz,1.32,7,29-22,4355,5448,34
Sukry,1.11,2,20-18,4165,4582,98
Totals,1.23,22,117-95,19725,22743,366
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.54,-12,14-26,1980,3922,20
Formal,1.15,3,23-20,3670,5511,77
Gunless,1.24,6,31-25,3730,5882,19
John,0.68,-7,15-22,3010,3662,27
Slacked,0.5,-12,12-24,2080,2737,17
Totals,0.81,-22,95-117,14470,21714,160
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,0.29,-5,2-7,500,922,0:1
Lucky,0.67,-2,4-6,525,831,1:0
MethodZsick,0.2,-4,1-5,325,598,0:2
Mettalz,0.43,-4,3-7,400,863,1:1
Sukry,1,0,5-5,825,1926,0:0
Totals,0.5,-15,15-30,2575,5140,2:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1.5,2,6-4,1300,1075,2:0
Formal,4,6,8-2,1250,999,0:1
Gunless,5,8,10-2,1275,1939,2:0
John,0.75,-1,3-4,750,1262,0:0
Slacked,0.67,-1,2-3,555,527,0:1
Totals,1.93,14,29-15,5130,5802,4:2
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.07,1,15-14,3325,2927,0:1
Lucky,1,0,11-11,2750,3139,0:0
MethodZsick,0.82,-3,14-17,2650,3018,0:1
Mettalz,1.69,9,22-13,3250,3901,0:0
Sukry,1.55,6,17-11,3470,4355,0:1
Totals,1.2,13,79-66,15445,17340,0:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,1,0,18-18,2660,3890,1:0
Formal,1.4,4,14-10,1750,3795,0:0
Gunless,0.5,-9,9-18,1775,3051,0:0
John,0.47,-10,9-19,1925,2247,1:0
Slacked,1.14,2,16-14,2100,2784,1:0
Totals,0.84,-13,66-79,10210,15767,3:0
Heretics,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
JurNii,0.81,-4,17-21,2805,3905,0
Lucky,0.83,-4,19-23,3340,4187,70
MethodZsick,0.81,-4,17-21,3050,3762,52
Mettalz,1.12,2,19-17,3160,3825,37
Sukry,0.89,-2,17-19,2680,3721,75
Totals,0.88,-12,89-101,15035,19400,234
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,1.56,9,25-16,3450,5373,106
Formal,0.73,-6,16-22,2895,3738,64
Gunless,0.9,-2,19-21,3480,4358,91
John,1.44,7,23-16,3780,3835,81
Slacked,1.29,4,18-14,3395,4365,106
Totals,1.13,12,101-89,17000,21669,448
Heretics,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
JurNii,1.67,4,10-6,1450,1771,0:0
Lucky,1.4,2,7-5,975,1435,3:0
MethodZsick,1.33,2,8-6,1425,1611,3:2
Mettalz,1,0,8-8,1275,1403,1:1
Sukry,0.57,-3,4-7,750,1447,0:0
Totals,1.16,5,37-32,5875,7667,7:3
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.71,-2,5-7,1100,910,0:2
Formal,0.44,-5,4-9,650,1077,1:3
Gunless,1.57,4,11-7,1600,1754,1:1
John,0.88,-1,7-8,1450,1909,1:1
Slacked,0.71,-2,5-7,1040,1091,0:0
Totals,0.84,-6,32-38,5840,6741,3:7
