Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.79,15,34-19,5000,5839,67
Natshay,0.64,-8,14-22,2820,3969,50
Rizk,1.11,2,21-19,2950,5019,70
Wailers,1.07,1,15-14,3010,3023,76
Zeeked,1.6,6,16-10,3555,3691,123
Totals,1.19,16,100-84,17335,21541,386
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.65,-8,15-23,2705,3840,31
Havok,1.21,4,23-19,3115,4115,82
MajorManiak,0.68,-7,15-22,2340,3250,29
Maux,1.27,4,19-15,3490,4327,60
Nagafen,0.57,-9,12-21,2950,3561,65
Totals,0.84,-16,84-100,14600,19093,267
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1,0,6-6,795,1390,0:1
Natshay,0.83,-1,5-6,750,1031,1:1
Rizk,0,-6,0-6,200,559,0:0
Wailers,0.17,-5,1-6,325,738,0:2
Zeeked,0.17,-5,1-6,515,474,0:1
Totals,0.43,-17,13-30,2585,4192,1:5
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,3,2,3-1,525,395,1:0
Havok,15,14,15-1,2060,2475,3:0
MajorManiak,1.5,2,6-4,725,1273,0:0
Maux,2.5,3,5-2,925,1648,1:0
Nagafen,0.2,-4,1-5,525,580,0:1
Totals,2.31,17,30-13,4760,6371,5:1
Denial,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.32,1.43,20,66-46,10015,12552
Natshay,0.88,0.89,-5,42-47,7200,8775
Rizk,0.84,1.13,6,52-46,7330,10972
Wailers,0.58,0.72,-13,33-46,6050,8040
Zeeked,0.73,0.95,-2,38-40,7765,8658
Totals,0.87,1.03,6,231-225,38360,48997
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.12,1.02,1,49-48,7915,9546
Havok,2,1.26,12,58-46,8805,11370
MajorManiak,0.97,0.86,-7,44-51,7090,9398
Maux,1.14,0.95,-2,36-38,6800,9816
Nagafen,0.66,0.79,-10,38-48,7515,8563
Totals,1.15,0.97,-6,225-231,38125,48693
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,1.24,5,26-21,4220,5323,68
Natshay,1.21,4,23-19,3630,3775,57
Rizk,1.48,10,31-21,4180,5394,53
Wailers,0.65,-9,17-26,2715,4279,11
Zeeked,0.88,-3,21-24,3695,4493,45
Totals,1.06,7,118-111,18440,23264,234
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,1.29,7,31-24,4685,5311,49
Havok,0.77,-6,20-26,3630,4780,94
MajorManiak,0.92,-2,23-25,4025,4875,84
Maux,0.57,-9,12-21,2385,3841,68
Nagafen,1.14,3,25-22,4040,4422,47
Totals,0.94,-7,111-118,18765,23229,342
