Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.65,15,38-23,5740,7205,72
Lacefield,0.79,-6,22-28,4085,5359,34
LlamaGod,0.9,-3,26-29,4980,4927,74
Parasite,1.25,6,30-24,4235,5736,106
Saints,0.97,-1,29-30,5185,6193,46
Totals,1.08,11,145-134,24225,29420,332
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.77,-7,23-30,4040,5141,87
Aqua,0.82,-5,23-28,4240,5469,51
Jurd,0.87,-4,26-30,4320,5421,75
Loony,0.93,-2,26-28,4405,5890,71
Temp,1.21,6,35-29,5560,7454,46
Totals,0.92,-12,133-145,22565,29375,330
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.13,1,9-8,1430,2313,3:0
Lacefield,0.86,-1,6-7,950,1569,1:1
LlamaGod,1.14,1,8-7,890,1502,1:0
Parasite,0.63,-3,5-8,775,1196,0:1
Saints,0.29,-5,2-7,350,805,0:2
Totals,0.81,-7,30-37,4395,7385,5:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.2,1,6-5,750,1607,1:1
Aqua,1.43,3,10-7,1350,2262,0:1
Jurd,0.8,-1,4-5,500,1071,0:1
Loony,1.67,4,10-6,1725,1816,1:0
Temp,0.86,-1,6-7,1050,1673,2:2
Totals,1.2,6,36-30,5375,8429,4:5
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.16,3,22-19,4600,4613,0:0
Lacefield,0.68,-8,17-25,3675,3690,1:2
LlamaGod,0.95,-1,21-22,4050,4874,0:0
Parasite,1.6,12,32-20,5380,6378,1:1
Saints,1.63,12,31-19,5250,5838,0:0
Totals,1.17,18,123-105,22955,25393,2:3
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.1,2,22-20,4125,4943,1:1
Aqua,0.48,-13,12-25,2995,3895,0:0
Jurd,0.81,-5,22-27,3950,4383,2:0
Loony,1,0,21-21,3915,4482,0:0
Temp,0.93,-2,28-30,4225,6009,0:1
Totals,0.85,-18,105-123,19210,23712,3:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.76,-5,16-21,2855,3703,52
Lacefield,1.11,2,21-19,3445,4117,84
LlamaGod,0.79,-4,15-19,3050,4112,38
Parasite,0.75,-5,15-20,3035,3572,24
Saints,1.3,6,26-20,3510,5215,20
Totals,0.94,-6,93-99,15895,20719,218
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.9,-2,18-20,3575,4875,115
Aqua,1.71,10,24-14,3775,4778,56
Jurd,0.68,-7,15-22,2855,3202,74
Loony,1.73,11,26-15,4315,3885,98
Temp,0.73,-6,16-22,3210,4085,62
Totals,1.06,6,99-93,17730,20825,405
