Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.77,-7,24-31,4805,5346,39
Diabolic,0.82,-5,23-28,3710,4923,45
Frosty,0.87,-3,20-23,3685,4506,53
General,1.17,4,28-24,4600,5112,79
Kismet,1.18,5,33-28,5140,5930,32
Totals,0.96,-6,128-134,21940,25817,248
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1,0,26-26,4090,5788,59
Dashy,1.7,14,34-20,5385,6706,117
Karma,1.04,1,29-28,4375,5894,58
Scump,0.68,-9,19-28,4600,4301,55
TJHaly,1,0,26-26,4255,5439,71
Totals,1.05,6,134-128,22705,28128,360
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,2,4,8-4,1425,1825,0:1
Diabolic,1,0,7-7,1165,1070,2:1
Frosty,1.6,3,8-5,1300,1520,0:0
General,0.83,-1,5-6,1025,1162,1:1
Kismet,1.17,1,7-6,980,1236,0:1
Totals,1.25,7,35-28,5895,6813,3:4
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1,0,7-7,1125,1795,1:0
Dashy,0.88,-1,7-8,800,1550,0:2
Karma,0.71,-2,5-7,925,1649,1:1
Scump,0.63,-3,5-8,725,911,1:0
TJHaly,0.8,-1,4-5,975,1128,1:0
Totals,0.8,-7,28-35,4550,7033,4:3
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,2.13,9,17-8,2725,2800,0:0
Diabolic,1.33,2,8-6,2065,1496,1:0
Frosty,1.57,4,11-7,2745,2739,0:0
General,1.17,2,14-12,2875,2908,0:1
Kismet,1.75,6,14-8,3050,2860,1:0
Totals,1.56,23,64-41,13460,12803,2:1
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.64,-5,9-14,1375,2503,1:1
Dashy,1.3,3,13-10,2105,2649,0:0
Karma,0.31,-9,4-13,825,1335,0:0
Scump,0.5,-7,7-14,1610,2150,0:1
TJHaly,0.62,-5,8-13,1200,1766,0:0
Totals,0.64,-23,41-64,7115,10403,1:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.46,-14,12-26,1840,3645,20
Diabolic,0.95,-1,19-20,2970,3610,10
Frosty,0.7,-6,14-20,2720,3717,19
General,0.63,-9,15-24,2985,3682,38
Kismet,0.64,-9,16-25,2915,3797,17
Totals,0.66,-39,76-115,13430,18451,104
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.4,6,21-15,3435,4237,71
Dashy,2.83,22,34-12,5625,6011,83
Karma,1.18,3,20-17,4755,4502,93
Scump,1.92,12,25-13,4935,4273,78
TJHaly,0.74,-5,14-19,2935,3058,45
Totals,1.5,38,114-76,21685,22081,370
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,0.67,-2,4-6,625,1380,0:0
Diabolic,0.17,-5,1-6,315,451,0:1
Frosty,0.33,-4,2-6,240,544,1:0
General,0.71,-2,5-7,575,1639,2:1
Kismet,0.67,-2,4-6,480,995,1:1
Totals,0.52,-15,16-31,2235,5009,4:3
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.67,2,5-3,575,1452,0:2
Dashy,0.6,-2,3-5,340,1169,0:0
Karma,5,8,10-2,1200,1592,0:0
Scump,2.33,4,7-3,1405,1468,2:1
TJHaly,1.5,2,6-4,890,1404,1:1
Totals,1.82,14,31-17,4410,7085,3:4
