Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,1.16,4,29-25,4245,6044,25
Diabolic,0.7,-7,16-23,2925,3167,22
Frosty,1.14,3,25-22,4380,4643,53
General,0.79,-5,19-24,3460,4681,113
Kismet,0.64,-9,16-25,3080,3957,24
Totals,0.88,-14,105-119,18090,22492,237
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,0.83,-4,19-23,3085,4280,75
Seany,1.47,9,28-19,4095,4928,25
Tommey,1.27,6,28-22,4280,5138,80
Wuskin,0.84,-3,16-19,4040,4308,114
Zed,1.27,6,28-22,4760,5524,49
Totals,1.13,14,119-105,20260,24178,343
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,1.2,1,6-5,1225,1697,1:1
Diabolic,1.17,1,7-6,1680,1563,0:0
Frosty,1.4,2,7-5,1090,1164,2:1
General,1.29,2,9-7,1275,1669,1:1
Kismet,1.33,2,8-6,980,1494,0:2
Totals,1.28,8,37-29,6250,7587,4:5
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.44,-5,4-9,675,954,0:0
Seany,0.38,-5,3-8,725,1170,1:2
Tommey,0.86,-1,6-7,650,1296,3:1
Wuskin,0.43,-4,3-7,650,1389,0:0
Zed,1.71,5,12-7,1750,1978,1:1
Totals,0.74,-10,28-38,4450,6787,5:4
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,1.15,4,30-26,4850,6857,0:0
Diabolic,1.42,10,34-24,5890,5851,2:0
Frosty,1,0,27-27,4505,6129,0:1
General,1,0,24-24,4550,4985,0:0
Kismet,1,0,26-26,4050,5587,1:1
Totals,1.11,14,141-127,23845,29409,3:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.14,4,33-29,5095,6553,0:0
Seany,0.88,-3,21-24,3775,4146,0:0
Tommey,0.83,-5,25-30,4500,5393,0:0
Wuskin,1.08,2,27-25,4515,4941,1:1
Zed,0.64,-12,21-33,3775,4727,1:2
Totals,0.9,-14,127-141,21660,25760,2:3
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.68,-6,13-19,2075,3549,68
Diabolic,0.41,-13,9-22,2180,2270,7
Frosty,1.29,5,22-17,3365,4154,50
General,1.14,3,25-22,4055,5050,38
Kismet,0.8,-4,16-20,3095,3384,41
Totals,0.85,-15,85-100,14770,18407,204
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.18,3,20-17,3975,4279,61
Seany,1.06,1,17-16,3870,3417,92
Tommey,1.87,13,28-15,3735,4362,70
Wuskin,1.33,5,20-15,3835,4413,107
Zed,0.68,-7,15-22,2625,3416,30
Totals,1.18,15,100-85,18040,19887,360
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,0.8,-2,8-10,850,2003,0:1
Diabolic,0.44,-5,4-9,850,1074,1:2
Frosty,1.14,1,8-7,1515,1971,1:0
General,0.56,-4,5-9,825,1808,0:1
Kismet,1,0,8-8,1375,1862,1:2
Totals,0.77,-10,33-43,5415,8718,3:6
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1,0,8-8,1530,1369,2:0
Seany,1.33,2,8-6,1325,1663,2:0
Tommey,1.67,4,10-6,1475,1817,0:1
Wuskin,1.2,1,6-5,1000,1295,0:2
Zed,1.38,3,11-8,2125,2031,2:0
Totals,1.3,10,43-33,7455,8175,6:3
