100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.68,-9,19-28,3220,4555,39
Kenny,0.91,-2,21-23,3170,4946,51
Octane,0.7,-7,16-23,2730,4164,76
Priestahh,1,0,22-22,3820,4842,68
Slasher,0.91,-2,21-23,2990,4741,66
Totals,0.83,-20,99-119,15930,23248,300
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.91,-2,20-22,3490,4709,52
Lacefield,0.63,-9,15-24,3080,3246,75
LlamaGod,1.39,7,25-18,3760,5192,65
Parasite,1.35,6,23-17,3905,5514,111
Saints,1.89,17,36-19,4865,5919,102
Totals,1.19,19,119-100,19100,24580,405
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.29,-5,2-7,500,672,0:0
Kenny,0.83,-1,5-6,725,1178,0:1
Octane,1,0,6-6,975,1038,3:1
Priestahh,0.83,-1,5-6,715,1159,0:0
Slasher,0.67,-2,4-6,700,1118,1:0
Totals,0.71,-9,22-31,3615,5165,4:2
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.17,1,7-6,915,1236,1:2
Lacefield,1.5,2,6-4,1475,1770,0:0
LlamaGod,0.6,-2,3-5,480,922,1:2
Parasite,1.2,1,6-5,750,1043,0:0
Saints,3,6,9-3,1525,1787,0:0
Totals,1.35,8,31-23,5145,6758,2:4
100 Thieves,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Enable,0.47,0.63,-22,37-59,6590,9116
Kenny,0.85,0.96,-2,48-50,7535,11595
Octane,0.68,0.72,-13,34-47,7150,8781
Priestahh,0.93,1.04,2,50-48,8055,10892
Slasher,1.05,1.14,7,56-49,8305,12228
Totals,0.79,0.89,-28,225-253,37635,52612
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,1.2,1.06,3,53-50,9025,11634
Lacefield,0.93,0.79,-10,38-48,7735,8891
LlamaGod,1.11,1.16,7,50-43,7465,10581
Parasite,1.2,0.95,-2,42-44,7880,10239
Saints,1.63,1.57,24,66-42,9605,12087
Totals,1.21,1.1,22,249-227,41710,53432
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.88,-2,15-17,2470,2962,37
Kenny,1.29,4,18-14,3040,3718,29
Octane,0.91,-1,10-11,3145,2661,160
Priestahh,1.42,5,17-12,2770,3288,108
Slasher,1.71,10,24-14,3665,5118,32
Totals,1.24,16,84-68,15090,17747,366
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1,0,17-17,3305,3894,56
Lacefield,0.82,-3,14-17,2605,2912,41
LlamaGod,1,0,17-17,2350,3452,12
Parasite,0.22,-14,4-18,1705,1885,31
Saints,1.07,1,16-15,2515,3216,62
Totals,0.81,-16,68-84,12480,15359,202
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.14,-6,1-7,400,927,0:1
Kenny,0.57,-3,4-7,600,1753,0:0
Octane,0.29,-5,2-7,300,918,0:2
Priestahh,0.75,-2,6-8,750,1603,1:0
Slasher,1.17,1,7-6,950,1251,0:3
Totals,0.57,-15,20-35,3000,6452,1:6
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.8,4,9-5,1315,1795,2:0
Lacefield,1,0,3-3,575,963,0:0
LlamaGod,1.67,2,5-3,875,1015,1:1
Parasite,2.25,5,9-4,1520,1797,3:0
Saints,1,0,5-5,700,1165,0:0
Totals,1.55,11,31-20,4985,6735,6:1
