Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.85,-5,28-33,5155,0,37
MajorManiak,1.04,1,28-27,4275,0,64
Maux,0.82,-6,27-33,5680,0,24
Nagafen,0.93,-2,28-30,4405,0,91
SpaceLy,0.96,-1,25-26,4065,0,131
Totals,0.91,-13,136-149,23580,0,347
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,1,0,26-26,4850,0,80
Seany,0.76,-7,22-29,4495,0,60
Tommey,1.96,23,47-24,5810,0,91
Wuskin,0.93,-2,25-27,4110,0,86
Zed,0.97,-1,29-30,5105,0,43
Totals,1.1,13,149-136,24370,0,360
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.56,-4,5-9,735,0,2:2
MajorManiak,1.43,3,10-7,1450,0,3:0
Maux,1.14,1,8-7,1600,0,0:0
Nagafen,1.5,3,9-6,1825,0,1:0
SpaceLy,0.71,-2,5-7,1250,0,0:2
Totals,1.03,1,37-36,6860,0,6:4
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,0.43,-4,3-7,555,0,1:2
Seany,0.75,-2,6-8,1325,0,0:0
Tommey,1.71,5,12-7,1500,0,1:1
Wuskin,0.75,-2,6-8,1075,0,0:1
Zed,1.29,2,9-7,1575,0,2:2
Totals,0.97,-1,36-37,6030,0,4:6
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Havok,0.88,-2,14-16,2175,0,0:1
MajorManiak,1.11,2,20-18,3455,0,1:0
Maux,1.09,1,12-11,2550,0,0:0
Nagafen,0.81,-3,13-16,1870,0,0:2
SpaceLy,1.38,5,18-13,2550,0,0:1
Totals,1.04,3,77-74,12600,0,1:4
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Denz,1.13,2,17-15,2880,0,0:0
Seany,0.86,-2,12-14,2525,0,0:0
Tommey,0.68,-6,13-19,2100,0,1:1
Wuskin,1.27,3,14-11,1820,0,1:0
Zed,1,0,18-18,2550,0,2:0
Totals,0.96,-3,74-77,11875,0,4:1
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Havok,0.89,-3,25-28,3935,0,59
MajorManiak,0.7,-9,21-30,3445,0,45
Maux,1.38,8,29-21,4540,0,108
Nagafen,0.91,-2,21-23,3925,0,75
SpaceLy,0.71,-8,20-28,3575,0,59
Totals,0.89,-14,116-130,19420,0,346
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Denz,0.91,-2,21-23,4285,0,95
Seany,0.6,-10,15-25,3070,0,34
Tommey,1.82,18,40-22,5095,0,88
Wuskin,1.14,3,25-22,3690,0,38
Zed,1.21,5,29-24,4080,0,42
Totals,1.12,14,130-116,20220,0,297
