Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,0.7,-6,14-20,1990,3922,16
Diabolic,0.61,-7,11-18,2180,2339,54
Frosty,0.53,-8,9-17,1715,1958,24
General,0.7,-7,16-23,2675,4283,11
Kismet,0.52,-10,11-21,1905,2911,24
Totals,0.62,-38,61-99,10465,15413,129
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.06,1,17-16,3220,4021,41
Lacefield,1.45,5,16-11,2880,3580,71
LlamaGod,3,18,27-9,3740,4293,80
Parasite,2,10,20-10,3570,3296,123
Saints,1.27,4,19-15,3300,3538,48
Totals,1.62,38,99-61,16710,18728,363
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,1.25,2,10-8,1850,2645,1:1
Diabolic,0.56,-4,5-9,825,1194,2:3
Frosty,0.9,-1,9-10,1370,1987,1:0
General,1,0,8-8,1650,2305,1:1
Kismet,0.78,-2,7-9,1295,1352,1:0
Totals,0.89,-5,39-44,6990,9483,6:5
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.57,4,11-7,1700,2530,2:2
Lacefield,1.14,1,8-7,975,1617,1:3
LlamaGod,1.63,5,13-8,1875,2400,1:0
Parasite,0.56,-4,5-9,1075,1288,1:1
Saints,0.78,-2,7-9,1325,2002,0:0
Totals,1.1,4,44-40,6950,9837,5:6
Enigma6,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Chino,0.71,-5,12-17,1825,2468,1:0
Diabolic,0.87,-2,13-15,2545,2374,0:1
Frosty,1.44,4,13-9,2460,3274,0:0
General,2.13,9,17-8,2885,3718,1:1
Kismet,1.13,2,17-15,2545,3477,0:0
Totals,1.13,8,72-64,12260,15311,2:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.73,-4,11-15,2250,2521,0:1
Lacefield,1.82,9,20-11,2875,3411,1:0
LlamaGod,0.44,-10,8-18,1625,2481,1:1
Parasite,1,0,14-14,1975,3669,0:0
Saints,0.79,-3,11-14,1850,2381,0:0
Totals,0.89,-8,64-72,10575,14463,2:2
Enigma6,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Chino,1.17,4,28-24,4160,5375,38
Diabolic,0.6,-10,15-25,3330,3993,54
Frosty,1.18,4,26-22,4240,5331,56
General,0.59,-12,17-29,3975,4502,44
Kismet,0.74,-7,20-27,3565,4065,57
Totals,0.83,-21,106-127,19270,23266,249
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.43,9,30-21,5570,6072,72
Lacefield,1.1,2,22-20,4045,4527,83
LlamaGod,1.3,6,26-20,4485,4329,78
Parasite,1.14,3,25-22,4705,5546,61
Saints,1.04,1,24-23,4430,5189,76
Totals,1.2,21,127-106,23235,25663,370
