Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.83,-3,15-18,1965,3961,11
Natshay,1,0,17-17,2595,3529,13
Rizk,0.74,-5,14-19,2295,3547,65
Wailers,1.07,1,16-15,2660,3272,50
Zeeked,0.67,-5,10-15,1525,2359,37
Totals,0.86,-12,72-84,11040,16668,176
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1,0,16-16,2085,3402,52
Seany,0.93,-1,14-15,2795,3821,59
Tommey,2.4,14,24-10,3020,3800,114
Wuskin,1.23,3,16-13,3165,3860,77
Zed,0.78,-4,14-18,2110,3360,45
Totals,1.17,12,84-72,13175,18243,347
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.25,1,5-4,790,1082,2:2
Natshay,5.5,9,11-2,1805,1445,1:0
Rizk,1.4,2,7-5,1050,1724,1:0
Wailers,2.67,5,8-3,1100,1895,2:0
Zeeked,0.25,-3,1-4,885,782,0:0
Totals,1.78,14,32-18,5630,6928,6:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.33,-4,2-6,315,782,1:1
Seany,0.25,-6,2-8,200,958,0:1
Tommey,0.83,-1,5-6,550,973,0:2
Wuskin,0.83,-1,5-6,650,1083,0:2
Zed,0.57,-3,4-7,675,987,1:0
Totals,0.55,-15,18-33,2390,4783,2:6
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.8,-4,16-20,2950,3591,0:1
Natshay,1.33,6,24-18,3585,3657,1:0
Rizk,1.22,4,22-18,3625,5365,0:0
Wailers,0.81,-3,13-16,2775,3312,0:2
Zeeked,0.88,-2,14-16,3025,3859,0:0
Totals,1.01,1,89-88,15960,19784,1:3
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.9,-2,18-20,3250,4092,1:1
Seany,0.83,-3,15-18,3150,3245,0:0
Tommey,0.61,-7,11-18,2100,3492,0:0
Wuskin,2,13,26-13,4095,4263,1:0
Zed,0.9,-2,18-20,3150,3436,1:0
Totals,0.99,-1,88-89,15745,18528,3:1
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.59,-7,10-17,1675,2691,17
Natshay,0.47,-9,8-17,1660,2332,18
Rizk,0.79,-3,11-14,1875,2498,3
Wailers,0.75,-3,9-12,1155,2524,13
Zeeked,0.86,-2,12-14,1630,2318,6
Totals,0.68,-24,50-74,7995,12363,57
Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,3,12,18-6,3070,2928,111
Seany,1.22,2,11-9,1840,2497,45
Tommey,1.25,3,15-12,2430,3229,68
Wuskin,1.9,9,19-10,2675,3111,60
Zed,0.85,-2,11-13,2700,2274,70
Totals,1.48,24,74-50,12715,14039,354
