100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.83,-4,19-23,3980,4535,79
Kenny,1.04,1,24-23,3985,4876,75
Octane,1.13,3,26-23,4515,6129,56
Priestahh,1.09,2,25-23,4230,4635,93
Slasher,2.05,21,41-20,5850,7224,90
Totals,1.21,23,135-112,22560,27399,393
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.69,-9,20-29,3975,4314,63
Havok,0.78,-7,25-32,4035,4936,65
MajorManiak,0.83,-4,20-24,3140,4657,55
Maux,0.82,-5,23-28,3550,5965,58
Nagafen,1,0,22-22,3775,4599,80
Totals,0.81,-25,110-135,18475,24471,321
100 Thieves,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,0.38,-5,3-8,950,908,1:0
Kenny,1.38,3,11-8,1550,2590,1:0
Octane,1.29,2,9-7,1375,2143,0:1
Priestahh,0.3,-7,3-10,555,1083,0:2
Slasher,2.29,9,16-7,2225,3748,6:0
Totals,1.05,2,42-40,6655,10472,8:3
Gen.G,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,1.63,5,13-8,1920,2370,1:1
Havok,1.29,2,9-7,1705,2148,1:1
MajorManiak,0.88,-1,7-8,1325,1590,1:0
Maux,1,0,9-9,1425,2729,0:0
Nagafen,0.18,-9,2-11,500,1190,0:6
Totals,0.93,-3,40-43,6875,10027,3:8
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Enable,1.08,1,14-13,2280,3033,1:0
Kenny,1.15,2,15-13,2435,3738,0:0
Octane,1.21,3,17-14,2675,4249,0:1
Priestahh,0.82,-3,14-17,2150,3031,0:0
Slasher,2.45,16,27-11,3275,4847,1:0
Totals,1.28,19,87-68,12815,18898,2:1
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Envoy,0.63,-7,12-19,2575,3580,0:0
Havok,0.74,-5,14-19,2500,2934,0:1
MajorManiak,1.07,1,16-15,2600,3002,0:0
Maux,0.88,-2,14-16,2850,3334,1:0
Nagafen,0.67,-6,12-18,2190,3085,0:1
Totals,0.78,-19,68-87,12715,15935,1:2
100 Thieves,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Enable,0.67,-10,20-30,3690,4941,3
Kenny,0.88,-3,23-26,4290,4687,69
Octane,1.08,2,26-24,5365,5484,149
Priestahh,1.62,16,42-26,6175,7262,55
Slasher,1.21,6,35-29,5400,7254,77
Totals,1.08,11,146-135,24920,29628,353
Gen.G,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Envoy,0.91,-3,29-32,4810,5224,94
Havok,0.9,-3,28-31,4810,5800,76
MajorManiak,1.38,10,36-26,5165,7662,106
Maux,0.7,-8,19-27,3425,4109,50
Nagafen,0.77,-7,23-30,3895,4902,48
Totals,0.92,-11,135-146,22105,27697,374
