OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.18,4,26-22,4110,5707,56
Dashy,1.25,5,25-20,3830,4515,58
Karma,1.73,11,26-15,4200,5365,129
Scump,1.14,3,24-21,3930,4533,40
TJHaly,1.13,3,27-24,3880,5468,101
Totals,1.25,26,128-102,19950,25588,384
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.74,-7,20-27,3510,4996,29
Aqua,0.85,-4,22-26,3740,4637,43
Jurd,0.92,-2,22-24,3600,4211,25
Loony,0.84,-4,21-25,3745,4618,35
Temp,0.65,-9,17-26,2750,4181,51
Totals,0.8,-26,102-128,17345,22643,183
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,11,10,11-1,1560,2084,0:0
Dashy,1,0,4-4,765,928,0:2
Karma,1,0,4-4,875,893,0:1
Scump,2,3,6-3,1325,1192,0:1
TJHaly,1.25,1,5-4,850,1193,1:1
Totals,1.88,14,30-16,5375,6290,1:5
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,0.67,-2,4-6,600,1037,1:0
Aqua,0.33,-4,2-6,300,533,1:0
Jurd,0.5,-3,3-6,600,1021,2:1
Loony,0.67,-2,4-6,800,797,1:0
Temp,0.5,-3,3-6,475,806,0:0
Totals,0.53,-14,16-30,2775,4194,5:1
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.82,-5,23-28,4425,5636,0:2
Dashy,0.88,-3,21-24,4275,5111,0:2
Karma,1.26,6,29-23,4900,5673,0:0
Scump,1.04,1,24-23,4165,5120,0:1
TJHaly,0.48,-17,16-33,4075,4671,0:0
Totals,0.86,-18,113-131,21840,26211,0:5
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,1.05,1,22-21,4395,5355,0:0
Aqua,0.78,-6,21-27,4055,4748,0:0
Jurd,1.67,14,35-21,5200,5507,2:0
Loony,1.16,3,22-19,4860,5408,1:0
Temp,1.24,6,31-25,4850,7395,2:0
Totals,1.16,18,131-113,23360,28413,5:0
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.08,2,26-24,4365,6501,69
Dashy,1.17,4,28-24,5270,5582,54
Karma,0.65,-9,17-26,2985,4212,48
Scump,0.88,-3,23-26,3775,5129,74
TJHaly,0.92,-2,24-26,4035,4601,52
Totals,0.94,-8,118-126,20430,26025,297
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,0.91,-2,21-23,4500,5098,115
Aqua,0.79,-5,19-24,3610,3626,85
Jurd,1.2,5,30-25,4810,4945,70
Loony,1.2,4,24-20,4820,4654,61
Temp,1.23,6,32-26,5220,6879,47
Totals,1.07,8,126-118,22960,25202,378
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.43,1.15,11,86-75,14460,19928
Dashy,1.06,1.08,6,78-72,14140,16136
Karma,1.11,1.12,8,76-68,12960,16143
Scump,1.14,1.05,4,77-73,13195,15974
TJHaly,0.85,0.83,-15,72-87,12840,15933
Totals,1.1,1.04,14,389-375,67595,84114
Splyce,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,0.85,0.87,-10,67-77,13005,16486
Aqua,0.71,0.77,-19,64-83,11705,13544
Jurd,1.1,1.18,14,90-76,14210,15684
Loony,0.96,1.01,1,71-70,14225,15477
Temp,0.94,1,0,83-83,13295,19261
Totals,0.91,0.96,-14,375-389,66440,80452
