Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Breszy,0.8,-4,16-20,2660,3557,59
Natshay,0.82,-4,18-22,3540,4362,71
Rizk,0.67,-8,16-24,3365,4258,50
Wailers,1.6,9,24-15,3775,4899,104
Zeeked,0.83,-4,19-23,3270,3722,75
Totals,0.89,-11,93-104,16610,20798,359
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.53,9,26-17,4525,5185,130
Lacefield,1.12,2,19-17,3255,3671,67
LlamaGod,1.16,3,22-19,3355,4518,36
Parasite,0.72,-5,13-18,2400,3267,92
Saints,1.09,2,24-22,3860,5288,43
Totals,1.12,11,104-93,17395,21929,368
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,2,3,6-3,875,1085,1:1
Natshay,4,6,8-2,1815,1305,1:0
Rizk,1,0,3-3,775,929,1:2
Wailers,2.33,4,7-3,1240,910,0:0
Zeeked,2,2,4-2,840,1006,0:0
Totals,2.15,15,28-13,5545,5235,3:3
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.67,-2,4-6,575,1297,1:0
Lacefield,0.67,-2,4-6,400,753,1:0
LlamaGod,0.33,-4,2-6,225,629,0:1
Parasite,0.2,-4,1-5,500,772,0:0
Saints,0.33,-4,2-6,225,596,1:2
Totals,0.45,-16,13-29,1925,4047,3:3
Denial,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,0.5,-9,9-18,1825,2131,0:1
Natshay,1.06,1,18-17,2945,3309,1:1
Rizk,0.69,-5,11-16,2400,2997,0:0
Wailers,0.57,-6,8-14,1950,2850,0:0
Zeeked,1,0,12-12,1825,2290,0:0
Totals,0.75,-19,58-77,10945,13577,1:2
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.33,4,16-12,3050,3720,0:0
Lacefield,1.2,2,12-10,2450,2436,0:0
LlamaGod,0.93,-1,13-14,2670,3227,1:1
Parasite,1.38,5,18-13,2950,3488,0:0
Saints,2,9,18-9,3175,3279,1:0
Totals,1.33,19,77-58,14295,16150,2:1
Denial,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Breszy,1.1,0.84,-7,38-45,6260,7958
Natshay,1.49,1.14,6,50-44,9150,10204
Rizk,0.81,0.73,-13,35-48,7140,9110
Wailers,1.41,1.25,9,45-36,8035,9652
Zeeked,1.41,1.08,3,42-39,7030,8128
Totals,1.22,0.99,-2,210-212,37615,45052
Midnight,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Blazt,0.85,1.15,6,47-41,8275,10727
Lacefield,0.76,0.95,-2,37-39,6330,7482
LlamaGod,0.72,0.89,-5,41-46,6925,9435
Parasite,0.86,0.93,-3,38-41,6775,9384
Saints,0.89,1.11,5,49-44,7860,9761
Totals,0.81,1,1,212-211,36165,46789
Denial,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Breszy,1.75,3,7-4,900,1185,2:1
Natshay,2,3,6-3,850,1228,2:1
Rizk,1,0,5-5,600,926,0:0
Wailers,1.5,2,6-4,1070,993,0:0
Zeeked,3.5,5,7-2,1095,1110,1:0
Totals,1.72,13,31-18,4515,5442,5:2
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.17,-5,1-6,125,525,0:1
Lacefield,0.33,-4,2-6,225,622,0:1
LlamaGod,0.57,-3,4-7,675,1061,0:1
Parasite,1.2,1,6-5,925,1857,2:1
Saints,0.71,-2,5-7,600,598,0:1
Totals,0.58,-13,18-31,2550,4663,2:5
