Reciprocity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1,0,27-27,5745,4894,100
Seany,1,0,25-25,4120,5990,32
Tommey,0.82,-5,23-28,3860,5077,80
Wuskin,1.08,2,27-25,4530,5784,69
Zed,1.1,3,32-29,5395,6162,49
Totals,1,0,134-134,23650,27907,330
Splyce,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Accuracy,1.04,1,26-25,4545,5010,65
Aqua,0.7,-8,19-27,3255,4447,44
Jurd,0.89,-3,24-27,4620,5205,68
Loony,1.03,1,31-30,4525,6196,66
Temp,1.36,9,34-25,4905,7121,91
Totals,1,0,134-134,21850,27979,334
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,0.57,-3,4-7,725,1010,1:0
Seany,0.57,-3,4-7,625,1074,1:1
Tommey,0.29,-5,2-7,225,466,0:2
Wuskin,0.71,-2,5-7,900,1229,0:0
Zed,0.86,-1,6-7,650,1049,2:1
Totals,0.6,-14,21-35,3125,4828,4:4
Splyce,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Accuracy,3,6,9-3,1150,1779,2:0
Aqua,0.6,-2,3-5,675,915,1:1
Jurd,1,0,5-5,825,944,0:1
Loony,1.75,3,7-4,1125,1151,1:1
Temp,1.4,2,7-5,925,1424,0:1
Totals,1.41,9,31-22,4700,6213,4:4
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Dylan,0.79,0.91,-3,31-34,6470,5904
Seany,0.78,0.91,-3,29-32,4745,7064
Tommey,0.57,0.71,-10,25-35,4085,5543
Wuskin,0.9,1,0,32-32,5430,7013
Zed,0.99,1.06,2,38-36,6045,7211
Totals,0.81,0.92,-14,155-169,26775,32735
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.63,1.25,7,35-28,5695,6789
Aqua,0.66,0.69,-10,22-32,3930,5362
Jurd,0.93,0.91,-3,29-32,5445,6149
Loony,1.27,1.12,4,38-34,5650,7347
Temp,1.38,1.37,11,41-30,5830,8545
Totals,1.15,1.06,9,165-156,26550,34192
Reciprocity,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Dylan,0.79,0.91,-3,31-34,6470,5904
Seany,0.78,0.91,-3,29-32,4745,7064
Tommey,0.57,0.71,-10,25-35,4085,5543
Wuskin,0.9,1,0,32-32,5430,7013
Zed,0.99,1.06,2,38-36,6045,7211
Totals,0.81,0.92,-14,155-169,26775,32735
Splyce,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Accuracy,1.63,1.25,7,35-28,5695,6789
Aqua,0.66,0.69,-10,22-32,3930,5362
Jurd,0.93,0.91,-3,29-32,5445,6149
Loony,1.27,1.12,4,38-34,5650,7347
Temp,1.38,1.37,11,41-30,5830,8545
Totals,1.15,1.06,9,165-156,26550,34192
