UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Mayhem,1.09,0.92,-6,66-72,8110,13426
Methodz,1.27,1.25,15,76-61,10575,16911
Parzelion,0.75,0.82,-11,50-61,8500,12561
Royalty,0.63,0.64,-27,47-74,7155,12101
Zaptius,0.59,0.63,-26,45-71,7645,10767
Totals,0.85,0.84,-55,284-339,41985,65766
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.94,0.9,-4,37-41,6325,8498
Cellium,1.47,1.39,14,50-36,7470,10037
Skrapz,1.8,2,29,58-29,8650,10762
Zer0,1.44,1.26,9,43-34,5945,8803
Zoomaa,1.19,1.14,6,49-43,7345,9643
Totals,1.33,1.3,54,237-183,35735,47743
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Mayhem,1.09,0.92,-6,66-72,8110,13426
Methodz,1.27,1.25,15,76-61,10575,16911
Parzelion,0.75,0.82,-11,50-61,8500,12561
Royalty,0.63,0.64,-27,47-74,7155,12101
Zaptius,0.59,0.63,-26,45-71,7645,10767
Totals,0.85,0.84,-55,284-339,41985,65766
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.94,0.9,-4,37-41,6325,8498
Cellium,1.47,1.39,14,50-36,7470,10037
Skrapz,1.8,2,29,58-29,8650,10762
Zer0,1.44,1.26,9,43-34,5945,8803
Zoomaa,1.19,1.14,6,49-43,7345,9643
Totals,1.33,1.3,54,237-183,35735,47743
UYU,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Mayhem,1.09,0.92,-6,66-72,8110,13426
Methodz,1.27,1.25,15,76-61,10575,16911
Parzelion,0.75,0.82,-11,50-61,8500,12561
Royalty,0.63,0.64,-27,47-74,7155,12101
Zaptius,0.59,0.63,-26,45-71,7645,10767
Totals,0.85,0.84,-55,284-339,41985,65766
FaZe Clan,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Asim,0.94,0.9,-4,37-41,6325,8498
Cellium,1.47,1.39,14,50-36,7470,10037
Skrapz,1.8,2,29,58-29,8650,10762
Zer0,1.44,1.26,9,43-34,5945,8803
Zoomaa,1.19,1.14,6,49-43,7345,9643
Totals,1.33,1.3,54,237-183,35735,47743
