OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.17,12,81-69,12680,17209
Dashy,1.38,1.47,28,88-60,12950,16950
Karma,1.01,1.1,7,75-68,10270,15061
Scump,0.91,1.06,4,76-72,12190,15699
TJHaly,1.2,1.22,15,84-69,11450,17053
Totals,1.15,1.2,66,404-338,59540,81972
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.44,1.62,24,63-39,8780,11454
Havok,1,1.08,3,42-39,7180,8142
MajorManiak,1.29,1.5,17,51-34,7470,9830
Maux,1.35,1.26,9,43-34,6885,9293
Nagafen,1.12,1.03,1,41-40,7025,8262
Totals,1.23,1.29,54,240-186,37340,46981
OpTic Gaming,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.17,12,81-69,12680,17209
Dashy,1.38,1.47,28,88-60,12950,16950
Karma,1.01,1.1,7,75-68,10270,15061
Scump,0.91,1.06,4,76-72,12190,15699
TJHaly,1.2,1.22,15,84-69,11450,17053
Totals,1.15,1.2,66,404-338,59540,81972
Gen.G,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.44,1.62,24,63-39,8780,11454
Havok,1,1.08,3,42-39,7180,8142
MajorManiak,1.29,1.5,17,51-34,7470,9830
Maux,1.35,1.26,9,43-34,6885,9293
Nagafen,1.12,1.03,1,41-40,7025,8262
Totals,1.23,1.29,54,240-186,37340,46981
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.17,12,81-69,12680,17209
Dashy,1.38,1.47,28,88-60,12950,16950
Karma,1.01,1.1,7,75-68,10270,15061
Scump,0.91,1.06,4,76-72,12190,15699
TJHaly,1.2,1.22,15,84-69,11450,17053
Totals,1.15,1.2,66,404-338,59540,81972
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.44,1.62,24,63-39,8780,11454
Havok,1,1.08,3,42-39,7180,8142
MajorManiak,1.29,1.5,17,51-34,7470,9830
Maux,1.35,1.26,9,43-34,6885,9293
Nagafen,1.12,1.03,1,41-40,7025,8262
Totals,1.23,1.29,54,240-186,37340,46981
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.17,12,81-69,12680,17209
Dashy,1.38,1.47,28,88-60,12950,16950
Karma,1.01,1.1,7,75-68,10270,15061
Scump,0.91,1.06,4,76-72,12190,15699
TJHaly,1.2,1.22,15,84-69,11450,17053
Totals,1.15,1.2,66,404-338,59540,81972
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.44,1.62,24,63-39,8780,11454
Havok,1,1.08,3,42-39,7180,8142
MajorManiak,1.29,1.5,17,51-34,7470,9830
Maux,1.35,1.26,9,43-34,6885,9293
Nagafen,1.12,1.03,1,41-40,7025,8262
Totals,1.23,1.29,54,240-186,37340,46981
OpTic Gaming,1,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Crimsix,1.32,1.17,12,81-69,12680,17209
Dashy,1.38,1.47,28,88-60,12950,16950
Karma,1.01,1.1,7,75-68,10270,15061
Scump,0.91,1.06,4,76-72,12190,15699
TJHaly,1.2,1.22,15,84-69,11450,17053
Totals,1.15,1.2,66,404-338,59540,81972
Gen.G,,,,,,
,aKD,K/D,#ERROR!,K-D,Score,Damage
Envoy,1.44,1.62,24,63-39,8780,11454
Havok,1,1.08,3,42-39,7180,8142
MajorManiak,1.29,1.5,17,51-34,7470,9830
Maux,1.35,1.26,9,43-34,6885,9293
Nagafen,1.12,1.03,1,41-40,7025,8262
Totals,1.23,1.29,54,240-186,37340,46981
