Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,0.85,-5,29-34,3585,5732,57
Attach,1.13,3,27-24,5265,6503,90
JKap,0.74,-7,20-27,3470,4748,80
Phantomz,1.45,9,29-20,4865,7407,81
Xotic,1.07,2,29-27,4630,5331,92
Totals,1.02,2,134-132,21815,29721,400
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.03,1,31-30,3665,5925,85
Methodz,1.42,10,34-24,5050,7181,96
Parzelion,1,0,23-23,3910,5524,74
Royalty,0.83,-5,24-29,3850,5948,81
Zaptius,0.71,-8,20-28,3420,4795,47
Totals,0.99,-2,132-134,19895,29373,383
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,1,0,8-8,1100,1349,1:0
Attach,0.9,-1,9-10,1100,2242,1:2
JKap,1.4,2,7-5,1170,1343,2:1
Phantomz,0.5,-4,4-8,675,1770,0:2
Xotic,2,6,12-6,1915,2592,2:0
Totals,1.08,3,40-37,5960,9296,6:5
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.86,6,13-7,1575,2354,1:1
Methodz,1.43,3,10-7,1250,2667,3:0
Parzelion,0.5,-4,4-8,850,1322,1:2
Royalty,0.67,-3,6-9,925,1564,0:2
Zaptius,0.44,-5,4-9,1125,1440,0:1
Totals,0.93,-3,37-40,5725,9347,5:6
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,1.38,3,11-8,2250,2557,0:0
Attach,2.17,7,13-6,2360,2307,0:1
JKap,1.3,3,13-10,1600,2468,0:1
Phantomz,1.29,2,9-7,2300,2056,0:0
Xotic,1.57,4,11-7,1905,2094,0:0
Totals,1.5,19,57-38,10415,11482,0:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.69,-4,9-13,1025,2145,1:0
Methodz,0.7,-3,7-10,1125,1917,0:0
Parzelion,1,0,12-12,1950,2950,1:0
Royalty,0.17,-10,2-12,275,1392,0:0
Zaptius,0.73,-3,8-11,1260,1507,0:0
Totals,0.66,-20,38-58,5635,9911,2:0
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1,0,20-20,3040,3992,72
Attach,1.05,1,20-19,2640,3477,49
JKap,1.14,2,16-14,2435,3091,39
Phantomz,3.11,19,28-9,3910,5503,120
Xotic,1.53,8,23-15,3570,4199,42
Totals,1.39,30,107-77,15595,20262,322
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,0.59,-9,13-22,1845,3002,24
Methodz,1.25,5,25-20,3150,5146,54
Parzelion,0.61,-7,11-18,1790,2765,45
Royalty,0.63,-9,15-24,2105,3197,23
Zaptius,0.57,-10,13-23,1840,3025,33
Totals,0.72,-30,77-107,10730,17135,179
