FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.76,-6,19-25,2885,4937,71
Cellium,1.32,6,25-19,3995,5174,85
Skrapz,1.78,14,32-18,4815,6098,105
Zer0,0.86,-3,18-21,2770,4499,41
Zoomaa,1.08,2,27-25,4125,5418,81
Totals,1.12,13,121-108,18590,26126,383
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.65,-8,15-23,2950,3868,52
Formal,0.69,-8,18-26,2315,4927,7
Gunless,1.24,5,26-21,3815,4756,111
John,1,0,24-24,3715,5108,56
Slacked,0.89,-3,24-27,3410,4879,45
Totals,0.88,-14,107-121,16205,23538,271
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1,0,7-7,1465,1397,2:1
Cellium,1.67,4,10-6,1325,1961,0:1
Skrapz,1.2,1,6-5,875,1157,1:1
Zer0,1.8,4,9-5,1150,1495,0:0
Zoomaa,1.33,2,8-6,1375,1400,2:1
Totals,1.38,11,40-29,6190,7410,5:4
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.63,-3,5-8,975,1047,1:0
Formal,0.86,-1,6-7,950,1473,0:0
Gunless,0.44,-5,4-9,400,1391,0:3
John,1,0,8-8,925,1965,2:0
Slacked,0.63,-3,5-8,575,993,1:2
Totals,0.7,-12,28-40,3825,6869,4:5
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.22,2,11-9,1975,2164,2:0
Cellium,1.36,4,15-11,2150,2902,0:0
Skrapz,3.33,14,20-6,2960,3507,0:0
Zer0,2,8,16-8,2025,2809,1:0
Zoomaa,1.17,2,14-12,1845,2825,0:0
Totals,1.65,30,76-46,10955,14207,3:0
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.44,-9,7-16,1050,2000,0:0
Formal,0.53,-7,8-15,1625,2263,0:1
Gunless,0.93,-1,14-15,1775,3101,0:0
John,0.22,-14,4-18,850,1605,0:1
Slacked,1.08,1,13-12,1795,2424,0:1
Totals,0.61,-30,46-76,7095,11393,0:3
