Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,1.04,1,24-23,3355,5071,81
Lacefield,0.86,-3,18-21,2495,3553,40
LlamaGod,1.44,7,23-16,3895,4864,57
Parasite,0.89,-2,17-19,2940,4150,124
Saints,1.26,5,24-19,3560,4532,64
Totals,1.08,8,106-98,16245,22170,366
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.04,1,24-23,3315,5324,56
Methodz,1.44,7,23-16,3410,5279,79
Parzelion,0.95,-1,20-21,3310,3997,64
Royalty,0.61,-9,14-23,2530,3432,60
Zaptius,0.74,-6,17-23,3125,3882,34
Totals,0.92,-8,98-106,15690,21914,293
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,2,3,6-3,700,1151,2:0
Lacefield,5,8,10-2,1300,1507,0:0
LlamaGod,4,3,4-1,730,1362,0:0
Parasite,6,5,6-1,1140,1074,2:1
Saints,0.67,-2,4-6,425,841,1:1
Totals,2.31,17,30-13,4295,5935,5:2
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,0.67,-2,4-6,500,1006,0:0
Methodz,0.29,-5,2-7,250,1149,0:2
Parzelion,0.6,-2,3-5,325,959,0:1
Royalty,0.33,-4,2-6,300,653,1:0
Zaptius,0.29,-5,2-7,300,503,1:2
Totals,0.42,-18,13-31,1675,4270,2:5
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,0.75,-6,18-24,2990,5286,0:1
Lacefield,0.63,-7,12-19,1900,3598,0:1
LlamaGod,0.71,-6,15-21,2180,3332,0:1
Parasite,1.11,2,21-19,3240,3944,0:0
Saints,0.7,-7,16-23,2375,3739,1:0
Totals,0.77,-24,82-106,12685,19899,1:3
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.06,1,19-18,3575,4114,0:1
Methodz,1.79,11,25-14,3635,4866,0:0
Parzelion,1.65,11,28-17,3955,5474,2:0
Royalty,0.72,-5,13-18,2375,3597,1:0
Zaptius,1.4,6,21-15,3990,4085,0:0
Totals,1.29,24,106-82,17530,22136,3:1
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Blazt,0.86,-3,19-22,2565,3494,50
Lacefield,1.13,2,18-16,2495,3478,39
LlamaGod,0.83,-3,15-18,2975,3829,79
Parasite,0.65,-9,17-26,2370,3476,47
Saints,0.44,-14,11-25,1685,2782,36
Totals,0.75,-27,80-107,12090,17059,251
UYU,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Mayhem,1.24,4,21-17,3280,4751,60
Methodz,1.18,3,20-17,2915,4778,58
Parzelion,1.23,3,16-13,2460,3307,75
Royalty,1.82,14,31-17,4350,4772,95
Zaptius,1.19,3,19-16,2825,3573,107
Totals,1.34,27,107-80,15830,21181,395
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Blazt,1.67,4,10-6,1350,2056,0:1
Lacefield,1.71,5,12-7,1650,2297,2:0
LlamaGod,1,0,5-5,745,942,1:1
Parasite,1.17,1,7-6,1255,1201,1:1
Saints,1.2,1,6-5,700,1280,2:0
Totals,1.38,11,40-29,5700,7776,6:3
UYU,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Mayhem,1.33,2,8-6,1300,1934,1:2
Methodz,0.88,-1,7-8,950,1644,0:0
Parzelion,0.56,-4,5-9,550,902,1:2
Royalty,0.33,-6,3-9,200,637,0:2
Zaptius,0.75,-2,6-8,1100,1189,1:0
Totals,0.73,-11,29-40,4100,6306,3:6
