FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.88,-3,21-24,3840,4583,81
Cellium,1.24,5,26-21,3710,4881,75
Skrapz,1.9,18,38-20,5310,6667,115
Zer0,0.96,-1,26-27,3685,5449,52
Zoomaa,0.69,-10,22-32,3115,5199,48
Totals,1.07,9,133-124,19660,26779,371
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,0.89,-3,24-27,3175,4960,49
Dashy,0.69,-8,18-26,3035,4841,52
Karma,0.82,-5,23-28,3115,4406,73
Scump,1.44,12,39-27,5130,6435,84
TJHaly,0.77,-6,20-26,3155,4702,72
Totals,0.93,-10,124-134,17610,25344,330
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.33,-4,2-6,500,642,0:1
Cellium,0.67,-2,4-6,475,1497,1:0
Skrapz,0.67,-2,4-6,450,781,1:2
Zer0,0.17,-5,1-6,200,656,0:1
Zoomaa,0.67,-2,4-6,425,1063,0:0
Totals,0.5,-15,15-30,2050,4639,2:4
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,0.75,-1,3-4,550,1139,1:1
Dashy,1,0,3-3,550,624,1:1
Karma,0,12,12-0,1550,1956,1:0
Scump,1.33,1,4-3,715,914,0:0
TJHaly,1.4,2,7-5,875,1586,1:0
Totals,1.93,14,29-15,4240,6219,4:2
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.88,-3,22-25,3350,4308,0:2
Cellium,1.16,3,22-19,3775,5587,0:0
Skrapz,2.06,18,35-17,4700,6839,1:0
Zer0,0.89,-2,16-18,2075,3873,0:0
Zoomaa,0.5,-11,11-22,2260,2709,0:0
Totals,1.05,5,106-101,16160,23316,1:2
OpTic Gaming,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.05,1,20-19,3205,5316,0:0
Dashy,1.29,5,22-17,3440,3989,1:0
Karma,1.08,2,26-24,3945,5136,1:0
Scump,0.64,-8,14-22,3595,3781,0:0
TJHaly,0.79,-5,19-24,3350,4606,0:1
Totals,0.95,-5,101-106,17535,22828,2:1
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.74,-5,14-19,2290,2977,50
Cellium,0.86,-3,18-21,2260,4167,39
Skrapz,1.37,7,26-19,2935,4310,55
Zer0,0.31,-18,8-26,1155,3397,20
Zoomaa,0.74,-5,14-19,2405,2987,63
Totals,0.77,-24,80-104,11045,17838,227
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Crimsix,1.85,11,24-13,3415,4148,145
Dashy,1.11,2,20-18,2945,3647,58
Karma,1.18,3,20-17,3200,4418,91
Scump,1.33,5,20-15,3145,3911,57
TJHaly,1.12,2,19-17,2725,4280,20
Totals,1.29,23,103-80,15430,20404,371
FaZe Clan,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.22,-7,2-9,775,433,0:3
Cellium,1.63,5,13-8,1875,2203,0:1
Skrapz,0.63,-3,5-8,975,1899,3:1
Zer0,0.71,-2,5-7,900,1713,0:1
Zoomaa,0.67,-3,6-9,975,1395,0:0
Totals,0.76,-10,31-41,5500,7643,3:6
OpTic Gaming,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Crimsix,1.67,4,10-6,1450,2259,1:0
Dashy,1.14,1,8-7,875,1696,2:0
Karma,1.33,2,8-6,1300,1597,1:0
Scump,0.63,-3,5-8,1225,1022,1:1
TJHaly,2.25,5,9-4,1300,1729,1:2
Totals,1.29,9,40-31,6150,8303,6:3
