Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1.33,5,20-15,2225,3410,21
Attach,2.55,17,28-11,3760,4953,120
JKap,0.87,-2,13-15,2255,3042,29
Phantomz,2.88,15,23-8,3565,3711,123
Xotic,1.78,7,16-9,2110,2964,45
Totals,1.72,42,100-58,13915,18080,338
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.48,-12,11-23,1290,2778,0
Formal,0.63,-6,10-16,1475,2883,31
Gunless,0.6,-8,12-20,1810,3279,21
John,0.71,-6,15-21,1650,2919,0
Slacked,0.5,-10,10-20,1240,2044,14
Totals,0.58,-42,58-100,7465,13903,66
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.71,-2,5-7,875,1457,0:1
Attach,2.6,8,13-5,1775,2026,4:0
JKap,1.17,1,7-6,1130,1975,0:1
Phantomz,1.8,4,9-5,1225,2232,2:0
Xotic,0.38,-5,3-8,655,790,0:2
Totals,1.19,6,37-31,5660,8480,6:4
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.57,-3,4-7,525,805,2:1
Formal,1.57,4,11-7,1675,2733,0:0
Gunless,0.44,-5,4-9,725,1445,0:4
John,0.86,-1,6-7,1125,1898,2:0
Slacked,0.86,-1,6-7,975,1349,0:1
Totals,0.84,-6,31-37,5025,8230,4:6
Evil Geniuses,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Apathy,0.68,-10,21-31,3200,4903,0:3
Attach,0.8,-5,20-25,3075,5040,0:1
JKap,0.76,-5,16-21,3005,4327,0:0
Phantomz,1.63,10,26-16,4350,6565,0:0
Xotic,1.04,1,24-23,4505,5093,1:0
Totals,0.92,-9,107-116,18135,25928,1:4
Luminosity,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Classic,0.78,-5,18-23,3385,4457,0:0
Formal,1.09,2,24-22,3825,5530,1:0
Gunless,1.79,15,34-19,4655,7262,2:0
John,1.1,2,23-21,3920,4870,0:1
Slacked,0.77,-5,17-22,3550,4183,1:0
Totals,1.08,9,116-107,19335,26302,4:1
Evil Geniuses,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Apathy,1.46,6,19-13,2870,3936,42
Attach,0.93,-1,14-15,2460,3430,71
JKap,1.17,2,14-12,2475,2647,72
Phantomz,2.27,14,25-11,4395,4790,125
Xotic,1.64,9,23-14,3200,3498,53
Totals,1.46,30,95-65,15400,18301,363
Luminosity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Classic,0.89,-2,16-18,2220,3922,50
Formal,0.43,-12,9-21,2050,3076,45
Gunless,0.55,-9,11-20,1440,3028,9
John,0.76,-4,13-17,1960,3269,47
Slacked,0.84,-3,16-19,2080,3565,34
Totals,0.68,-30,65-95,9750,16860,185
