FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Asim,0.88,-3,21-24,3345,4454,110
Cellium,1.22,5,28-23,4315,5229,117
Skrapz,1.05,1,22-21,3210,3851,108
Zer0,1.63,12,31-19,3540,6062,19
Zoomaa,0.75,-6,18-24,2915,4612,43
Totals,1.08,9,120-111,17325,24208,397
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Dylan,1.17,4,28-24,3795,6133,93
Seany,0.84,-4,21-25,3365,4672,44
Tommey,0.67,-8,16-24,2995,3373,42
Wuskin,0.83,-4,20-24,2845,4025,23
Zed,1.13,3,26-23,3560,4488,43
Totals,0.93,-9,111-120,16560,22691,245
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,0.5,-4,4-8,995,1358,0:0
Cellium,3,12,18-6,2525,3302,5:0
Skrapz,0.56,-4,5-9,700,1461,1:0
Zer0,1.43,3,10-7,1175,2154,2:0
Zoomaa,0.89,-1,8-9,1075,1954,1:2
Totals,1.15,6,45-39,6470,10229,9:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1.22,2,11-9,1490,1946,0:2
Seany,0.8,-2,8-10,1175,2171,0:1
Tommey,0.7,-3,7-10,900,1097,1:3
Wuskin,0.75,-2,6-8,975,1987,1:1
Zed,0.88,-1,7-8,1585,1720,0:2
Totals,0.87,-6,39-45,6125,8921,2:9
FaZe Clan,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Asim,1.08,1,13-12,1675,2756,0:0
Cellium,1.25,3,15-12,2085,2818,0:1
Skrapz,1.6,6,16-10,2575,3268,0:0
Zer0,2.25,10,18-8,2460,3973,1:1
Zoomaa,1.33,4,16-12,2335,2763,0:0
Totals,1.44,24,78-54,11130,15578,1:2
Reciprocity,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Dylan,1,0,16-16,2475,2768,0:0
Seany,0.27,-11,4-15,1100,1903,0:1
Tommey,0.61,-7,11-18,2090,2838,1:0
Wuskin,1,0,15-15,2270,2804,0:0
Zed,0.57,-6,8-14,1650,2433,1:0
Totals,0.69,-24,54-78,9585,12746,2:1
