Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.42,8,27-19,3535,0,25
Envoy,0.78,-5,18-23,2970,0,124
Jetli,0.92,-2,24-26,3805,0,37
LlamaGod,0.58,-10,14-24,3145,0,75
Parzelion,1.91,10,21-11,2740,0,81
Totals,1.01,1,104-103,16195,0,342
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,1.35,6,23-17,3795,0,99
Joee,0.54,-13,15-28,3230,0,36
Rated,0.72,-5,13-18,2800,0,92
Skrapz,2,15,30-15,4365,0,86
Zer0,0.85,-4,22-26,3390,0,52
Totals,0.99,-1,103-104,17580,0,365
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.57,-3,4-7,550,0,1:0
Envoy,0.83,-1,5-6,650,0,0:1
Jetli,0.71,-2,5-7,915,0,1:1
LlamaGod,0.57,-3,4-7,540,0,1:1
Parzelion,0.57,-3,4-7,450,0,0:2
Totals,0.65,-12,22-34,3105,0,3:5
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.25,1,5-4,850,0,0:1
Joee,1,0,6-6,1055,0,1:0
Rated,0.57,-3,4-7,750,0,0:1
Skrapz,4.33,10,13-3,2010,0,2:0
Zer0,1,0,4-4,525,0,2:1
Totals,1.33,8,32-24,5190,0,5:3
Midnight,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,0.95,-1,18-19,3245,0,1:0
Envoy,0.56,-12,15-27,3485,0,0:1
Jetli,0.73,-8,22-30,3500,0,1:1
LlamaGod,1.11,2,20-18,3260,0,1:0
Parzelion,0.88,-2,15-17,2650,0,0:0
Totals,0.81,-21,90-111,16140,0,3:2
Red Reserve,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.18,3,20-17,3640,0,0:1
Joee,1.11,2,21-19,3850,0,1:1
Rated,1,0,17-17,3300,0,0:1
Skrapz,1.29,6,27-21,4575,0,1:0
Zer0,1.63,10,26-16,4085,0,0:0
Totals,1.23,21,111-90,19450,0,2:3
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Brack,1.35,6,23-17,4095,0,64
Envoy,0.79,-5,19-24,3025,0,45
Jetli,1.05,1,21-20,3880,0,81
LlamaGod,1.72,13,31-18,4865,0,85
Parzelion,1.87,13,28-15,4490,0,63
Totals,1.3,28,122-94,20355,0,338
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,Hill Time
Bance,0.91,-2,21-23,3215,0,38
Joee,0.61,-11,17-28,3340,0,55
Rated,0.81,-3,13-16,2215,0,50
Skrapz,0.8,-5,20-25,3340,0,20
Zer0,0.77,-7,23-30,3265,0,20
Totals,0.77,-28,94-122,15375,0,183
Midnight,1,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Brack,3.75,11,15-4,2690,0,1:0
Envoy,1,0,9-9,1375,0,2:3
Jetli,0.8,-1,4-5,900,0,0:0
LlamaGod,1.5,2,6-4,1255,0,0:0
Parzelion,1.14,1,8-7,1150,0,1:3
Totals,1.45,13,42-29,7370,0,4:6
Red Reserve,,,,,,
,K/D,#ERROR!,K-D,Score,Damage,FB:FD
Bance,1.25,2,10-8,1475,0,2:0
Joee,0.86,-1,6-7,1720,0,0:2
Rated,0.5,-4,4-8,995,0,1:1
Skrapz,0.1,-9,1-10,400,0,0:0
Zer0,0.89,-1,8-9,1375,0,3:1
Totals,0.69,-13,29-42,5965,0,6:4
